product_name,brands,energy_100g,proteins_100g,carbohydrates_100g,fat_100g,fiber_100g,sugars_100g,salt_100g
Peanuts,Torn & Glasser,1941.0,17.86,60.71,17.86,7.1,17.86,0.635
Organic Salted Nut Mix,Grizzlies,2540.0,17.86,17.86,57.14,7.1,3.57,1.22428
Organic Muesli,Daddy's Muesli,1833.0,14.06,57.81,18.75,9.4,15.62,0.1397
Zen Party Mix,Sunridge,2230.0,16.67,36.67,36.67,6.7,3.33,1.60782
Cinnamon Nut Granola,Grizzlies,1824.0,14.55,60.0,18.18,9.1,21.82,0.02286
Organic Hazelnuts,Grizzlies,2632.0,14.29,17.86,60.71,10.7,3.57,0.01016
Organic Oat Groats,Pcc,1096.0,16.67,66.67,5.95,9.5,2.38,0.0254
Energy Power Mix,Sunridge,1464.0,7.5,42.5,17.5,5.0,32.5,0.28448
Antioxidant Mix - Berries & Chocolate,Sunridge,2092.0,13.33,46.67,33.33,6.7,30.0,0.46482
Organic Quinoa Coconut Granola With Mango,Sunridge,1674.0,10.91,69.09,10.91,9.1,27.27,0.02286
Fire Roasted Hatch Green Chile Almonds,Sunridge,2372.0,6.67,23.33,50.0,10.0,6.67,1.27
Peanut Butter Power Chews,Sunridge,1954.0,8.89,60.0,20.0,4.4,33.33,0.19812
Organic Unswt Berry Coconut Granola,New England Naturals,1548.0,12.96,57.41,22.22,9.3,5.56,0.28194
Roasted Salted Black Pepper Cashews,Sunridge,2372.0,16.67,30.0,46.67,3.3,6.67,1.016
Thai Curry Roasted Cashews,Sunridge,2372.0,16.67,30.0,43.33,3.3,6.67,1.35382
Wasabi Tamari Almonds,Sunridge,2230.0,20.0,23.33,46.67,10.0,3.33,2.032
Organic Red Quinoa,Pcc,1490.0,13.33,64.44,6.67,8.9,11.11,0.01016
Dark Chocolate Coconut Chews,Sunridge,2092.0,5.0,52.5,35.0,7.5,37.5,0.127
"Organic Unsweetened Granola, Cinnamon Almond",New England Naturals,1887.0,11.76,58.82,21.57,9.8,3.92,0.27432
Organic Blueberry Almond Granola,Sunridge,1674.0,10.91,70.91,9.09,7.3,29.09,0.04572
Organic Coconut Chips,Grizzlies,2761.0,6.0,24.0,65.0,16.0,7.0,0.09398
Aunt Ginger's Snappy Granola,Grizzlies,1941.0,10.71,64.29,17.86,7.1,21.43,0.04572
Dark Chocolate Sea Salt & Turbinado Almonds,Sunridge,2197.0,7.5,50.0,35.0,7.5,37.5,1.651
Organic Garbanzo Beans,Unfi,1335.0,17.02,53.19,5.32,14.9,8.51,0.05334
Organic Yellow Split Peas,Unfi,1582.0,28.89,68.89,1.11,28.9,8.89,0.05588
Coconut Almond Granola,Golden Temple,2054.0,10.91,58.18,25.45,7.3,9.09,0.254
Super Nutty Granola,Golden Temple,1904.0,10.91,63.64,18.18,7.3,10.91,0.254
Maple Almond Granola,Golden Temple,1904.0,10.91,67.27,14.55,9.1,12.73,0.254
35% Fruit And Fiber Muesli,Golden Temple,1523.0,10.91,70.91,4.55,9.1,23.64,0.18542
Tricolor Tortellini,Napoleon,1611.0,13.85,60.0,9.23,3.1,1.54,1.13284
10-Grain Pancake Mix,Bob's Red Mill,1297.0,13.79,60.34,1.72,6.9,5.17,2.75844
Granola Cranberry And Acai,Viva La Salud,1824.0,9.09,74.55,10.91,5.5,25.45,0.254
"Peanuts, Mixed Nuts",Northgate Market,2389.0,25.0,25.0,42.86,7.1,14.29,0.54356
"Foods, Spanish Peanuts","Kettle,  Kettle Foods",2389.0,28.57,17.86,50.0,7.1,3.57,1.13284
"Foods, Honey Roasted Nut Mix","Kettle,  Kettle Foods",2389.0,21.43,28.57,46.43,7.1,3.57,1.08966
Roasted Salted Sunflower Seeds,Kid Picks,2766.0,21.43,21.43,57.14,17.9,3.57,1.08966
"Foods, Deluxe Nut Mix","Kettle,  Kettle Foods",2540.0,17.86,21.43,57.14,7.1,3.57,0.58928
"Foods, Honey Roast Nuts & Fruit Mix","Kettle,  Kettle Foods",2176.0,12.0,60.0,28.0,8.0,32.0,0.2032
Organic Trail Mix,Unfi,1812.0,13.33,46.67,26.67,6.7,33.33,0.127
Organic Raw Pumpkin Seeds,Pcc,2510.0,30.0,13.33,46.67,10.0,3.33,0.04318
Curry Lentil Soup Mix,Taste Adventure,1289.0,25.0,51.92,1.92,28.8,5.77,2.29616
Split Pea Soup Mix,Taste Adventure,1314.0,22.86,57.14,1.43,22.9,8.57,1.81356
Whole Wheat 'N Honey Fig Bars,Marin,1255.0,10.0,56.67,6.67,10.0,26.67,0.71882
Chocolate Nut Crunch,Sunridge,1954.0,10.0,53.33,26.67,6.7,36.67,0.21082
Milk Chocolate Peanut Butter Malt Balls,Sunridge,2197.0,7.5,60.0,27.5,2.5,57.5,0.09652
